year,ccode,country,regime,duration,collapse,hypart,democracy2,party2,sftgcode,coup,coup.1,predyr,postcw,pastcoup,infantmort,slowgrowth,civconc,regdur,regfail,party,anocracy,xconst,gdp,constraint,constraint2,party2,rev_party,xconst3,,
1981,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1982,0,0,-0.088696297,1,0,NA,NA,NA,0,1,4.82E+08,0,0,NA,NA,-2,,
1981,411,NA,NA,NA,NA,NA,0,NA,EQG,1,0,1982,0,1,0.723918839,NA,0,NA,NA,NA,0,1,44294647.62,0,0,NA,NA,-2,,
1981,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1982,0,0,-0.516241498,1,0,NA,NA,NA,0,1,3645744806,0,0,NA,NA,-2,,
1981,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1982,0,0,-0.323074731,1,0,NA,NA,NA,0,1,7596703007,0,0,NA,NA,-2,,
1981,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1982,0,0,0.71738802,0,0,NA,NA,NA,0,1,148934332,0,0,NA,NA,-2,,
1982,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1983,0,0,-0.045031205,1,0,NA,NA,NA,0,1,489333333.3,0,0,NA,NA,-2,,
1982,411,NA,NA,NA,NA,NA,0,NA,EQG,0,1,1983,0,1,0.765234136,NA,0,NA,NA,NA,0,1,44442456.99,0,0,NA,NA,-2,,
1982,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1983,0,0,-0.510090661,1,0,NA,NA,NA,0,1,3735106511,0,0,NA,NA,-2,,
1982,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1983,0,0,-0.375845237,1,0,NA,NA,NA,0,1,6467582126,0,0,NA,NA,-2,,
1982,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1983,0,0,0.751226482,0,0,NA,NA,NA,0,1,165585938.1,0,0,NA,NA,-2,,
1983,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1984,0,0,-0.01810043,1,0,NA,NA,NA,0,1,437631601.3,0,0,NA,NA,-2,,
1983,411,NA,NA,NA,NA,NA,0,NA,EQG,1,0,1984,0,1,0.79329136,1,0,NA,NA,NA,0,1,50320914.27,0,0,NA,NA,-2,,
1983,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1984,0,0,-0.521910095,0,0,NA,NA,NA,0,1,3905585155,0,0,NA,NA,-2,,
1983,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1984,0,0,-0.459433153,1,0,NA,NA,NA,0,1,6704395622,0,0,NA,NA,-2,,
1983,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1984,0,0,0.767740819,0,0,NA,NA,NA,0,1,169264987.2,0,0,NA,NA,-2,,
1984,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1985,0,0,0.000789924,1,0,NA,NA,NA,0,1,453488352,0,0,NA,NA,-2,,
1984,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1985,0,1,0.811271618,1,0,NA,NA,NA,0,1,62118569.99,0,0,NA,NA,-2,,
1984,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1985,0,0,-0.540440037,0,0,NA,NA,NA,0,1,3651861912,0,0,NA,NA,-2,,
1984,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1985,0,0,-0.568257817,0,0,NA,NA,NA,0,1,6153296280,0,0,NA,NA,-2,,
1984,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1985,0,0,0.776743009,0,0,NA,NA,NA,0,1,172217500.8,0,0,NA,NA,-2,,
1985,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1986,0,0,0.009125947,0,0,NA,NA,NA,0,1,504651110.6,0,0,NA,NA,-2,,
1985,411,NA,NA,NA,NA,NA,0,NA,EQG,0,1,1986,0,1,0.820254061,0,0,NA,NA,NA,0,1,76407395.96,0,0,NA,NA,-2,,
1985,581,NA,NA,NA,NA,NA,0,NA,COM,1,0,1986,0,1,0.665166316,0,0,NA,NA,NA,0,1,162487778.5,0,0,NA,NA,-2,,
1985,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1986,0,0,-0.562405944,1,0,NA,NA,NA,0,1,3052393636,0,0,NA,NA,-2,,
1985,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1986,0,0,-0.708909805,1,0,NA,NA,NA,0,1,5053021815,0,0,NA,NA,-2,,
1985,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1986,0,0,0.776737288,0,0,NA,NA,NA,0,1,201375722.7,0,0,NA,NA,-2,,
1986,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1987,0,0,0.053567746,1,0,NA,NA,NA,0,1,354591836.4,0,0,NA,NA,-2,,
1986,411,NA,NA,NA,NA,NA,0,NA,EQG,1,0,1987,0,1,0.859931195,1,0,NA,NA,NA,0,1,93345859.26,0,0,NA,NA,-2,,
1986,581,NA,NA,NA,NA,NA,0,NA,COM,0,1,1987,0,1,0.711572218,1,0,NA,NA,NA,0,1,196433673.9,0,0,NA,NA,-2,,
1986,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1987,0,0,-0.558762262,1,0,NA,NA,NA,0,1,3392021223,0,0,NA,NA,-2,,
1986,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1987,0,0,-0.967384307,1,0,NA,NA,NA,0,1,5446428538,0,0,NA,NA,-2,,
1986,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1987,0,0,0.803523559,0,0,NA,NA,NA,0,1,253182456.7,0,0,NA,NA,-2,,
1987,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1988,0,0,0.075880936,1,0,NA,NA,NA,0,1,413799987.2,0,0,NA,NA,-2,,
1987,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1988,0,1,0.87605542,0,0,NA,NA,NA,0,1,100534657,0,0,NA,NA,-2,,
1987,581,NA,NA,NA,NA,NA,0,NA,COM,1,0,1988,0,1,0.734344691,1,0,NA,NA,NA,0,1,207476558.5,0,0,NA,NA,-2,,
1987,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1988,0,0,-0.568605606,0,0,NA,NA,NA,0,1,3702393659,0,0,NA,NA,-2,,
1987,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1988,0,0,-0.995013888,1,0,NA,NA,NA,0,1,6038186868,0,0,NA,NA,-2,,
1987,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1988,0,0,0.80657367,0,0,NA,NA,NA,0,1,283855835.9,0,0,NA,NA,-2,,
1988,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1989,0,0,0.093587211,1,0,NA,NA,NA,0,1,379779377.6,0,0,NA,NA,-2,,
1988,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1989,0,1,0.890993585,0,0,NA,NA,NA,0,1,88265974.87,0,0,NA,NA,-2,,
1988,581,NA,NA,NA,NA,NA,0,NA,COM,0,1,1989,0,1,0.756091714,0,0,NA,NA,NA,0,1,198733188.1,0,0,NA,NA,-2,,
1988,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1989,0,0,-0.585171233,0,0,NA,NA,NA,0,1,3863564047,0,0,NA,NA,-2,,
1988,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1989,0,0,-1.019996248,1,0,NA,NA,NA,0,1,6487911901,0,0,NA,NA,-2,,
1988,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1989,0,0,0.808599631,0,0,NA,NA,NA,0,1,275949887.8,0,0,NA,NA,-2,,
1989,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1990,0,0,0.145074995,1,0,NA,NA,NA,0,1,396582263.9,0,0,NA,NA,-2,,
1989,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1990,0,1,0.937110477,1,0,NA,NA,NA,0,1,112119411.7,0,0,NA,NA,-2,,
1989,581,NA,NA,NA,NA,NA,0,NA,COM,1,0,1990,0,1,0.808918802,1,0,NA,NA,NA,0,1,250030778.4,0,0,NA,NA,-2,,
1989,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1990,0,0,-0.573190656,1,0,NA,NA,NA,0,1,4229787379,0,0,NA,NA,-2,,
1989,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1990,0,0,-1.022305406,1,0,NA,NA,NA,0,1,7360439208,0,0,NA,NA,-2,,
1989,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1990,0,0,0.841640983,0,0,NA,NA,NA,0,1,299787274.8,0,0,NA,NA,-2,,
1990,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1991,0,0,0.172832231,1,0,NA,NA,NA,0,1,336708410.1,0,0,NA,NA,-2,,
1990,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1991,0,1,0.960286352,0,0,NA,NA,NA,0,1,110906028.5,0,0,NA,NA,-2,,
1990,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1991,0,0,-0.58538954,0,0,NA,NA,NA,0,1,4616223477,0,0,NA,NA,-2,,
1990,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1991,0,0,-1.042862275,1,0,NA,NA,NA,0,1,6883516285,0,0,NA,NA,-2,,
1990,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1991,0,0,0.851764063,0,0,NA,NA,NA,0,1,250045841,0,0,NA,NA,-2,,
1991,110,NA,NA,NA,NA,NA,0,NA,GUY,0,0,1992,1,0,0.178294225,0,0,NA,NA,NA,0,1,368281383.5,0,0,NA,NA,-2,,
1991,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1992,1,0,0.959991608,1,0,NA,NA,NA,0,1,134707183.8,0,0,NA,NA,-2,,
1991,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1992,1,0,-0.610766749,0,0,NA,NA,NA,0,1,4751063992,0,0,NA,NA,-2,,
1991,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1992,1,0,-1.109489351,1,0,NA,NA,NA,0,1,7646153766,0,0,NA,NA,-2,,
1991,704,NA,NA,NA,NA,NA,0,NA,UZB,0,0,1992,1,0,NA,1,0,NA,NA,NA,0,1,12953800571,0,0,NA,NA,-2,,
1991,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1992,1,0,0.833682946,1,1,NA,NA,NA,0,1,250794358.5,0,0,NA,NA,-2,,
1992,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1993,1,0,1.016295859,0,0,NA,NA,NA,0,1,136047905.9,0,0,NA,NA,-2,,
1992,692,NA,NA,NA,NA,NA,0,NA,BAH,0,0,1993,1,0,-0.582864112,0,0,NA,NA,NA,0,1,5200266050,0,0,NA,NA,-2,,
1992,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1993,1,0,-1.13031417,0,0,NA,NA,NA,0,1,7156593446,0,0,NA,NA,-2,,
1992,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1993,1,0,0.872177567,0,1,NA,NA,NA,0,1,235239569.3,0,0,NA,NA,-2,,
1993,694,NA,NA,NA,NA,NA,0,NA,QAT,0,0,1994,1,0,-1.190811512,1,0,NA,NA,NA,0,1,7374450565,0,0,NA,NA,-2,,
1993,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1994,1,0,0.853934976,1,1,NA,NA,NA,0,1,270801565.2,0,0,NA,NA,-2,,
